Last Update,Confirmed,Country/Region,Deaths,Last Update,Latitude,Longitude,Province/State,Recovered,input_file,Active
2020-02-26 19:33:02,705.0,Others,4.0,2020-02-26 19:33:02,,,Diamond Princess cruise ship,10.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,695.0
2020-02-27 23:23:02,655.0,Italy,17.0,2020-02-27 23:23:02,,,,45.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,610.0
2020-02-27 14:13:06,631.0,China,0.0,2020-02-27 14:13:06,,,Jiangsu,498.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,133.0
2020-02-27 23:23:02,576.0,China,6.0,2020-02-27 23:23:02,,,Chongqing,401.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,175.0
2020-02-27 12:43:02,534.0,China,3.0,2020-02-27 12:43:02,,,Sichuan,321.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,213.0
2020-02-27 12:43:02,480.0,China,13.0,2020-02-27 12:43:02,,,Heilongjiang,270.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,210.0
2020-02-27 02:23:13,410.0,China,5.0,2020-02-27 02:23:13,,,Beijing,248.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,162.0
2020-02-27 04:03:12,337.0,China,3.0,2020-02-27 04:03:12,,,Shanghai,276.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,61.0
2020-02-27 12:43:02,317.0,China,6.0,2020-02-27 12:43:02,,,Hebei,274.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,43.0
2020-02-27 10:03:07,296.0,China,1.0,2020-02-27 10:03:07,,,Fujian,228.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,68.0
2020-02-27 10:03:07,252.0,China,2.0,2020-02-27 10:03:07,,,Guangxi,161.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,91.0
2020-02-27 12:03:04,245.0,Iran,26.0,2020-02-27 12:03:04,,,,49.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,196.0
2020-02-27 12:43:02,245.0,China,1.0,2020-02-27 12:43:02,,,Shaanxi,195.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,50.0
2020-02-27 23:33:02,214.0,Japan,4.0,2020-02-27 23:33:02,,,,22.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,192.0
2020-02-27 10:03:07,174.0,China,2.0,2020-02-27 10:03:07,,,Yunnan,150.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,24.0
2020-02-27 10:03:07,168.0,China,5.0,2020-02-27 10:03:07,,,Hainan,131.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,37.0
2020-02-27 00:43:02,146.0,China,2.0,2020-02-27 00:43:02,,,Guizhou,112.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,34.0
2020-02-27 23:13:04,136.0,China,3.0,2020-02-27 23:13:04,,,Tianjin,102.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,34.0
2020-02-27 23:13:04,133.0,China,0.0,2020-02-27 23:13:04,,,Shanxi,107.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,26.0
2020-02-27 14:13:06,121.0,China,1.0,2020-02-27 14:13:06,,,Liaoning,93.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,28.0
2020-02-27 12:43:02,93.0,China,1.0,2020-02-27 12:43:02,,,Jilin,67.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,26.0
2020-02-26 19:33:02,93.0,Singapore,0.0,2020-02-26 19:33:02,,,,62.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,31.0
2020-02-27 09:53:02,92.0,Hong Kong,2.0,2020-02-27 09:53:02,,,Hong Kong,24.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,68.0
2020-02-26 14:13:10,91.0,China,2.0,2020-02-26 14:13:10,,,Gansu,81.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,10.0
2020-02-27 12:43:02,76.0,China,2.0,2020-02-27 12:43:02,,,Xinjiang,43.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,33.0
2020-02-27 23:33:02,75.0,China,0.0,2020-02-27 23:33:02,,,Inner Mongolia,43.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,32.0
2020-02-27 10:03:07,72.0,China,0.0,2020-02-27 10:03:07,,,Ningxia,68.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,4.0
2020-02-27 23:13:04,46.0,Germany,0.0,2020-02-27 23:13:04,,,,16.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,30.0
2020-02-27 13:33:03,43.0,Kuwait,0.0,2020-02-27 13:33:03,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,43.0
